name,category,source,lat,lng,area,noise_level,has_coffee,has_food,has_wifi,has_outlets,food_drink,weather_dependent,is_indoor,is_outdoor,n_best_times,n_avoid_times,has_avoid_times,n_features,feat_wifi,feat_outlets,feat_coffee,feat_food,feat_quiet,feat_outdoor,feat_comfortable_seating,feat_shaded,feat_benches,feat_tables,feat_group_friendly,feat_printing_nearby,feat_outdoor_patio,feat_outdoor_seating,feat_natural_light,feat_flexible_seating,feat_library_adjacent,feat_private_carrels,feat_group_rooms,feat_writable_walls,feat_meal_vouchers,feat_picnic_friendly,feat_shaded_tables,feat_coffee_adjacent,feat_low_traffic,feat_central_location,feat_sheltered_atrium,feat_nature,feat_walking_paths,feat_free_admission,noise_encoded,category_encoded,amenity_score,is_food_capable,comfort_score,connectivity_score,group_score,outdoor_score
Powell Library,library,ucla_library_website,34.0713,-118.4417,,,False,False,False,False,False,False,False,False,2,1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Charles E. Young Research Library (YRL),library,ucla_library_website,34.0752,-118.4418,,,False,False,False,False,False,False,False,False,3,1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Science and Engineering Library (SEL),library,ucla_library_website,34.0692,-118.4432,,,False,False,False,False,False,False,False,False,3,1,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Louise M. Darling Biomedical Library,library,ucla_library_website,34.0663,-118.4446,,,False,False,False,False,False,False,False,False,1,1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Walter H. Rubsamen Music Library,library,ucla_library_website,34.0704,-118.4398,,,False,False,False,False,False,False,False,False,1,0,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Richard C. Rudolph East Asian Library,library,ucla_library_website,34.0752,-118.4415,,,False,False,False,False,False,False,False,False,1,0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Management Library,library,ucla_library_website,34.073,-118.4397,,,False,False,False,False,False,False,False,False,2,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Arts Library,library,ucla_library_website,34.0736,-118.4393,,,False,False,False,False,False,False,False,False,1,0,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0,0,0,0
Louise Kerckhoff Study Lounge,study_lounge,asucla_website_static,34.0713,-118.444,"Kerckhoff Hall, 3rd Floor",quiet,False,False,True,True,False,False,False,False,1,1,True,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,2,False,2,2,0,0
Kerckhoff Second Floor Study Lounge,study_lounge,asucla_website_static,34.0713,-118.444,"Kerckhoff Hall, 2nd Floor",quiet,False,False,True,False,False,False,False,False,1,0,False,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,False,2,1,0,0
Ackerman Union Open Study,study_lounge,asucla_website_static,34.0707,-118.444,Ackerman Union,moderate,False,False,True,False,False,False,False,False,2,1,True,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,1,False,0,2,2,0
Bruin Reflection Space,study_lounge,asucla_website_static,34.0707,-118.444,"Ackerman Union, 3rd Floor",silent,False,False,True,False,False,False,False,False,1,0,False,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,False,2,1,0,0
Transfer Student Center Lounge,study_lounge,asucla_website_static,34.0707,-118.444,Ackerman Union,moderate,False,False,True,False,False,False,False,False,1,1,True,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,1,False,1,1,0,0
Veteran Resource Center,study_lounge,asucla_website_static,34.0713,-118.444,Kerckhoff Hall,quiet,False,False,True,False,False,False,False,False,1,1,True,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,1,False,1,1,0,0
Kerckhoff Coffeehouse,cafe,asucla_dining_static,34.0713,-118.444,"Kerckhoff Hall, 2nd Floor",moderate,True,True,True,True,False,False,True,True,2,1,True,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2,4,True,0,2,0,0
Cafe 451,cafe,asucla_dining_static,34.0752,-118.4418,"Young Research Library (YRL), 1st Floor",moderate,True,True,True,True,False,False,True,False,2,1,True,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2,4,True,0,2,0,0
Jimmy's Coffee House,cafe,asucla_dining_static,34.0738,-118.4408,Lu Valle Commons,low_moderate,True,True,True,True,False,False,True,True,2,1,True,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2,4,True,0,2,0,0
The Study at Hedrick,cafe,asucla_dining_static,34.0731,-118.4484,"Hedrick Hall, The Hill",quiet,True,True,True,True,False,False,True,False,1,1,True,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2.0,2,4,True,3,2,2,0
Music Cafe,cafe,asucla_dining_static,34.0706,-118.4396,Ostin Music Center,low_moderate,True,True,True,True,False,False,True,False,2,1,True,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2,4,True,0,2,0,0
Bruin Cafe,cafe,asucla_dining_static,34.0728,-118.4476,Sproul Hall,moderate,True,True,True,True,False,False,True,True,1,1,True,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2,4,True,0,2,0,0
Anderson School Cafe (Starbucks),cafe,asucla_dining_static,34.073,-118.4397,Anderson School of Management,moderate,True,True,True,False,False,False,True,True,1,1,True,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,2,3,True,0,1,0,0
North Campus Student Center,cafe,asucla_dining_static,34.0753,-118.4404,North Campus Student Center,moderate,True,True,True,True,False,False,True,True,1,1,True,6,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2,4,True,0,2,1,0
Franklin D. Murphy Sculpture Garden,outdoor,curated_static,34.0754,-118.4396,North Campus,quiet,False,False,False,False,False,True,False,True,2,1,True,5,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,3,0,False,1,0,1,5
Kerckhoff Patio,outdoor,curated_static,34.0713,-118.4438,Central Campus,low_moderate,False,False,False,False,False,True,False,True,2,1,True,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.0,3,0,False,0,0,0,2
Inverted Fountain Area,outdoor,curated_static,34.0695,-118.4419,South Campus,quiet,False,False,False,False,False,True,False,True,2,1,True,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,0,False,1,0,0,3
Lu Valle Commons Outdoor Area,outdoor,curated_static,34.0738,-118.4408,North Campus,quiet,False,False,False,False,False,True,False,True,1,0,False,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,3,0,False,1,0,1,3
Ackerman Union Outdoor Terrace,outdoor,curated_static,34.0707,-118.4443,Central Campus,moderate,False,False,False,False,False,True,False,True,2,1,True,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,3,0,False,1,1,0,2
Bunche Hall Palm Court,outdoor,curated_static,34.0748,-118.4409,North Campus,quiet,False,False,False,False,False,False,False,False,1,1,True,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3,0,False,2,0,0,0
Mathias Botanical Garden,outdoor,curated_static,34.0666,-118.4404,Southeast Campus,very_quiet,False,False,False,False,False,True,False,True,1,0,False,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,3,0,False,0,0,0,3
Court of Sciences,outdoor,curated_static,34.0685,-118.4428,South Campus,low_moderate,False,False,False,False,False,True,False,True,2,2,True,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3,0,False,0,0,1,3
